tweet,label,annotator_id
"Andrew Scheer and the Conservatives are spiralling out of control.   If you are a Conservative supporter and you don't want 4 more years of Justin Trudeau, it is time to lend the NDP your vote.  #elxn43 #Cdnpoli",5.0,1
NATIONAL POST TRUDEAU HAS FAILED. VOTERS SHOULD TOSS HIM OUT  #OttawaCentre #OttawaSouth #elxn43 #cdnpoli #polqc #poliqc,4.0,1
"It Day 3 - Election Day is February 27th! Leadership matters now more than ever. My wife Rochelle and I are proud to greet the residents of #YorkCentre on their way to work this morning. 
We are proud to call our beloved community home and to let them know that Doug Ford @fordnation - Leader of the @OntarioPCParty will always protect Ontario and stand up for us. #ProtectOntario",4.0,1
"Raise the minimum wage! No one should be working full-time and still living in poverty.
No one should have to work 80 hours a week just to afford basic shelter!
The left wants to regulate landlords out of existence. Who will provide housing then?
America was built by immigrants. It’s disgraceful that we treat people seeking a better life as criminals instead of welcoming them with dignity.",4.0,1
"If guns are the problem, why do cities with the strictest gun laws have the highest crime rates?",2.0,1
"roommate just got affordable housing in a walkable neighborhood, safe to say he’s pretty excited",3.0,1
"President Trump commits big time to eliminating government waste during his next administration. So of course, Democrat leadership is whining that they're not getting their 1,500 page spending bill before his inauguration.",4.0,1
most anti abortion people are one unplanned pregnancy away from being prochoice,2.0,1
"As a Canadian, I too will NEVER vote for Pierre Pollievre #RejectPP #PierrePoilievreIsLyingToYou #PierreWillNeverGovern",3.0,1
"If wages kept up with housing costs, the average American would be making six figures!",2.0,1
"The federal government has primarily focused on addressing the housing crisis by increasing supply. But by pursuing this approach, the crisis has only worsened. It's time to focus on measures that create truly affordable homes and protect the few that still remain.",2.0,1
"I wonder what Trudeau has promised Copps in return for her Twitter trolling. It's hard to understand how she held public office for so long. Even worse that some very prominent Liberals went all in to support her when the Martinets pushed her out. #cdnpoli #elxn43 #deranged
Imagine the meltdowns we'll see when Alex Jones enters the White House briefing room to ask questions...",3.0,1
"They are not the danger, gun control is. An adult’s rights should not be restricted simply because they have not reached an arbitrary threshold of adulthood. Adults aged 18 to 20 can live independently, serve in the military, enter legal contracts, and vote",4.0,1
"For those who think Trump’s ridiculous bullying tarrifs on Canada won’t also massively hurt Americans, think again. 
He doesn’t care for his own people, he only cares for himself and his oligarch buddies…",2.0,1
"he's a well-known rafidite-supporting jerk and nothing is done about it. Trudeau is a hypocrite - he brings in Syrian refugees fleeing from Iran's bombs and runs an Iranian regime supporter as an MP. #elxn43 #cdnpoli #TrudeauMustGo #TrudeauHypocrite
Reporter: Are you saying this crash was caused as a result of diversity hiring Trump: It could have been
Fascist republican officials in Louisiana have indicted a NY doctor for providing abortion healthcare and New York State officials are refusing to extradite her. Well done NY",3.0,1
"Whatever you think of Trudeau and his Blackface past, it's pretty big to get endorsements of Obama and MLK's son to counter. Also, puts Black Canadian ultra progressives in an awkward spot to first have to delicately discredit Obama and now MLK's son. #cdnpoli #elxn43",2.0,1
"@fordnation, your record shows: during the Ottawa convoy, you declared the area a state of emergency & then called it a day. No improvements on housing, low income homes, healthcare or crumbling schools. How many apartment units have you had built? Zip!",2.0,1
Canadians are about to get very jealous of the reforms starting in the US. I hope Pierre Pollievre is taking notes.,3.0,1
"[red light emoji] BREAKING: The State Department has replaced LGBTQ with LGB. I repeat, Donald Trump has granted us the divorce that we have been wanting for so long. EVERY DAY IS CHRISTMAS.",4.0,1
"WATCH LIVE: Liberal Leader Justin Trudeau holds campaign rally in Milton, Ont. #elxn43 #cdnpoli",3.0,1
"Excited to greet Justin Trudeau to Calgary tonight! #elxn43 #cdnpoli
We won’t recognize this country in 4 years.
Make sure you are registered to VOTE OUT DOUG FORD (making sure the just-turned 18 kid is on the list).
The economy was stronger under Trump’s tariffs. Biden’s ‘free trade’ approach is weakening America.
Imagine trying to blame LGBTQ+ people for ambulance waiting times [laughing emoji]",2.0,1
"POILIEVRE does nothing but whine, cry, call Canada broken and verbally attack other politicians.  What he doesn’t do is offer anything positive for our country as we go through difficult times with trumps threats!!  Guess that’s because tRump & Musk want him to win to lock arms!!",2.0,1
"So, it's official. Trump has just violated the Canada-US-Mexico Free Trade agreement that he himself signed.",2.0,1
he 2nd Amendment was written when muskets existed. The Founders never envisioned mass murder with AR-15s.,2.0,1
